replicate,p1_mean,p2_mean,h_mean,p1_sd,p2_sd,h_sd,p1_cv,p2_cv,h_cv,linkage,gene_action,p1_af,p2_af,esize,ss,ns
1,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
2,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
3,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
4,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
5,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
6,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
7,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
8,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
9,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
10,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
11,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
12,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
13,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
14,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
15,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
16,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
17,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
18,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
19,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
20,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
21,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
22,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
23,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
24,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
25,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
26,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
27,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
28,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
29,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
30,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
31,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
32,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
33,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
34,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
35,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
36,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
37,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
38,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
39,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
40,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
41,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
42,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
43,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
44,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
45,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
46,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
47,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
48,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
49,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
50,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
51,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
52,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
53,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
54,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
55,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
56,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
57,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
58,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
59,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
60,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
